Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2013,Albania,ALB,Ireland,IRL,70,127,0,-,0,-,0
2014,Albania,ALB,Ireland,IRL,68,187,0,-,0,-,0
2015,Albania,ALB,Ireland,IRL,75,275,0,-,0,-,0
2016,Albania,ALB,Ireland,IRL,74,382,0,-,0,-,0
2017,Albania,ALB,Ireland,IRL,78,635,0,-,0,-,0
2018,Albania,ALB,Ireland,IRL,91,886,0,-,0,-,0
2019,Albania,ALB,Ireland,IRL,145,783,0,-,0,-,0
2020,Albania,ALB,Ireland,IRL,190,516,0,-,0,-,0
2021,Albania,ALB,Ireland,IRL,206,413,0,-,0,-,0
2022,Albania,ALB,Ireland,IRL,221,386,0,-,0,0,0
1999,Algeria,DZA,Ireland,IRL,78,0,0,-,0,-,0
2000,Algeria,DZA,Ireland,IRL,25,0,0,-,0,-,0
2001,Algeria,DZA,Ireland,IRL,64,0,0,-,0,-,0
2002,Algeria,DZA,Ireland,IRL,101,0,0,-,0,-,0
2003,Algeria,DZA,Ireland,IRL,75,88,0,-,0,-,0
2004,Algeria,DZA,Ireland,IRL,83,69,0,-,0,-,0
2005,Algeria,DZA,Ireland,IRL,90,0,0,-,0,-,0
2006,Algeria,DZA,Ireland,IRL,90,43,0,-,0,-,0
2007,Algeria,DZA,Ireland,IRL,242,45,0,-,0,-,0
2008,Algeria,DZA,Ireland,IRL,241,70,0,-,0,-,0
2009,Algeria,DZA,Ireland,IRL,167,47,0,-,0,-,0
2010,Algeria,DZA,Ireland,IRL,164,109,0,-,0,-,0
2011,Algeria,DZA,Ireland,IRL,125,127,0,-,0,-,0
2012,Algeria,DZA,Ireland,IRL,54,143,0,-,0,-,0
2013,Algeria,DZA,Ireland,IRL,194,146,0,-,0,-,0
2014,Algeria,DZA,Ireland,IRL,184,152,0,-,0,-,0
2015,Algeria,DZA,Ireland,IRL,188,153,0,-,0,-,0
2016,Algeria,DZA,Ireland,IRL,186,142,0,-,0,-,0
2017,Algeria,DZA,Ireland,IRL,189,197,0,-,0,-,0
2018,Algeria,DZA,Ireland,IRL,43,220,0,-,0,-,0
2019,Algeria,DZA,Ireland,IRL,54,202,0,-,0,-,0
2020,Algeria,DZA,Ireland,IRL,64,221,0,-,0,-,0
2021,Algeria,DZA,Ireland,IRL,68,301,0,-,0,-,0
2022,Algeria,DZA,Ireland,IRL,74,1925,0,-,0,0,0
1999,Angola,AGO,Ireland,IRL,18,0,0,-,0,-,0
2000,Angola,AGO,Ireland,IRL,22,0,0,-,0,-,0
2001,Angola,AGO,Ireland,IRL,111,0,0,-,0,-,0
2002,Angola,AGO,Ireland,IRL,225,0,0,-,0,-,0
2003,Angola,AGO,Ireland,IRL,230,134,0,-,0,-,0
2004,Angola,AGO,Ireland,IRL,254,103,0,-,0,-,0
2005,Angola,AGO,Ireland,IRL,279,0,0,-,0,-,0
2006,Angola,AGO,Ireland,IRL,281,48,0,-,0,-,0
2007,Angola,AGO,Ireland,IRL,365,68,0,-,0,-,0
2008,Angola,AGO,Ireland,IRL,363,78,0,-,0,-,0
2009,Angola,AGO,Ireland,IRL,361,45,0,-,0,-,0
2010,Angola,AGO,Ireland,IRL,355,67,0,-,0,-,0
2011,Angola,AGO,Ireland,IRL,268,49,0,-,0,-,0
2012,Angola,AGO,Ireland,IRL,139,48,0,-,0,-,0
2013,Angola,AGO,Ireland,IRL,265,39,0,-,0,-,0
2014,Angola,AGO,Ireland,IRL,244,14,0,-,0,-,0
2015,Angola,AGO,Ireland,IRL,249,15,0,-,0,-,0
2016,Angola,AGO,Ireland,IRL,237,11,0,-,0,-,0
2017,Angola,AGO,Ireland,IRL,236,20,0,-,0,-,0
2018,Angola,AGO,Ireland,IRL,50,25,0,-,0,-,0
2019,Angola,AGO,Ireland,IRL,50,32,0,-,0,-,0
2020,Angola,AGO,Ireland,IRL,53,26,0,-,0,-,0
2021,Angola,AGO,Ireland,IRL,52,25,0,-,0,-,0
2022,Angola,AGO,Ireland,IRL,47,39,0,-,0,0,0
2000,Egypt,EGY,Ireland,IRL,6,0,0,-,0,-,0
2001,Egypt,EGY,Ireland,IRL,9,0,0,-,0,-,0
2002,Egypt,EGY,Ireland,IRL,21,0,0,-,0,-,0
2003,Egypt,EGY,Ireland,IRL,19,15,0,-,0,-,0
2004,Egypt,EGY,Ireland,IRL,20,0,0,-,0,-,0
2005,Egypt,EGY,Ireland,IRL,21,0,0,-,0,-,0
2006,Egypt,EGY,Ireland,IRL,24,5,0,-,0,-,0
2007,Egypt,EGY,Ireland,IRL,33,6,0,-,0,-,0
2008,Egypt,EGY,Ireland,IRL,34,21,0,-,0,-,0
2009,Egypt,EGY,Ireland,IRL,34,15,0,-,0,-,0
2010,Egypt,EGY,Ireland,IRL,28,22,0,-,0,-,0
2011,Egypt,EGY,Ireland,IRL,25,30,0,-,0,-,0
2012,Egypt,EGY,Ireland,IRL,21,30,0,-,0,-,0
2013,Egypt,EGY,Ireland,IRL,38,30,0,-,0,-,0
2014,Egypt,EGY,Ireland,IRL,41,20,0,-,0,-,0
2015,Egypt,EGY,Ireland,IRL,36,27,0,-,0,-,0
2016,Egypt,EGY,Ireland,IRL,30,13,0,-,0,-,0
2017,Egypt,EGY,Ireland,IRL,29,39,0,-,0,-,0
2018,Egypt,EGY,Ireland,IRL,19,68,0,-,0,-,0
2019,Egypt,EGY,Ireland,IRL,30,68,0,-,0,-,0
2020,Egypt,EGY,Ireland,IRL,43,68,0,-,0,-,0
2021,Egypt,EGY,Ireland,IRL,51,64,0,-,0,-,0
2022,Egypt,EGY,Ireland,IRL,54,359,0,-,0,0,0
2004,Argentina,ARG,Ireland,IRL,0,5,0,-,0,-,0
2001,Armenia,ARM,Ireland,IRL,5,0,0,-,0,-,0
2002,Armenia,ARM,Ireland,IRL,16,0,0,-,0,-,0
2003,Armenia,ARM,Ireland,IRL,11,20,0,-,0,-,0
2004,Armenia,ARM,Ireland,IRL,17,11,0,-,0,-,0
2005,Armenia,ARM,Ireland,IRL,28,0,0,-,0,-,0
2006,Armenia,ARM,Ireland,IRL,32,11,0,-,0,-,0
2007,Armenia,ARM,Ireland,IRL,40,21,0,-,0,-,0
2008,Armenia,ARM,Ireland,IRL,42,13,0,-,0,-,0
2009,Armenia,ARM,Ireland,IRL,43,16,0,-,0,-,0
2010,Armenia,ARM,Ireland,IRL,43,22,0,-,0,-,0
2011,Armenia,ARM,Ireland,IRL,41,15,0,-,0,-,0
2012,Armenia,ARM,Ireland,IRL,30,13,0,-,0,-,0
2013,Armenia,ARM,Ireland,IRL,22,14,0,-,0,-,0
2014,Armenia,ARM,Ireland,IRL,10,10,0,-,0,-,0
2015,Armenia,ARM,Ireland,IRL,10,7,0,-,0,-,0
2016,Armenia,ARM,Ireland,IRL,11,0,0,-,0,-,0
2017,Armenia,ARM,Ireland,IRL,11,9,0,-,0,-,0
2018,Armenia,ARM,Ireland,IRL,9,6,0,-,0,-,0
2019,Armenia,ARM,Ireland,IRL,14,5,0,-,0,-,0
2020,Armenia,ARM,Ireland,IRL,14,5,0,-,0,-,0
2021,Armenia,ARM,Ireland,IRL,14,0,0,-,0,-,0
2022,Armenia,ARM,Ireland,IRL,11,0,0,-,0,0,0
1999,Azerbaijan,AZE,Ireland,IRL,5,0,0,-,0,-,0
2000,Azerbaijan,AZE,Ireland,IRL,8,0,0,-,0,-,0
2001,Azerbaijan,AZE,Ireland,IRL,9,0,0,-,0,-,0
2002,Azerbaijan,AZE,Ireland,IRL,14,0,0,-,0,-,0
2003,Azerbaijan,AZE,Ireland,IRL,14,12,0,-,0,-,0
2004,Azerbaijan,AZE,Ireland,IRL,22,11,0,-,0,-,0
2005,Azerbaijan,AZE,Ireland,IRL,23,0,0,-,0,-,0
2006,Azerbaijan,AZE,Ireland,IRL,26,5,0,-,0,-,0
2007,Azerbaijan,AZE,Ireland,IRL,29,6,0,-,0,-,0
2008,Azerbaijan,AZE,Ireland,IRL,33,5,0,-,0,-,0
2009,Azerbaijan,AZE,Ireland,IRL,31,0,0,-,0,-,0
2010,Azerbaijan,AZE,Ireland,IRL,26,5,0,-,0,-,0
2011,Azerbaijan,AZE,Ireland,IRL,25,5,0,-,0,-,0
2012,Azerbaijan,AZE,Ireland,IRL,19,5,0,-,0,-,0
2013,Azerbaijan,AZE,Ireland,IRL,19,10,0,-,0,-,0
2014,Azerbaijan,AZE,Ireland,IRL,12,0,0,-,0,-,0
2015,Azerbaijan,AZE,Ireland,IRL,14,0,0,-,0,-,0
2016,Azerbaijan,AZE,Ireland,IRL,15,0,0,-,0,-,0
2017,Azerbaijan,AZE,Ireland,IRL,15,0,0,-,0,-,0
2018,Azerbaijan,AZE,Ireland,IRL,6,0,0,-,0,-,0
2019,Azerbaijan,AZE,Ireland,IRL,5,0,0,-,0,-,0
2020,Azerbaijan,AZE,Ireland,IRL,5,0,0,-,0,-,0
2021,Azerbaijan,AZE,Ireland,IRL,5,0,0,-,0,-,0
2022,Azerbaijan,AZE,Ireland,IRL,5,7,0,-,0,0,0
2006,Bahrain,BHR,Ireland,IRL,0,5,0,-,0,-,0
2007,Bahrain,BHR,Ireland,IRL,0,5,0,-,0,-,0
2008,Bahrain,BHR,Ireland,IRL,0,5,0,-,0,-,0
2010,Bahrain,BHR,Ireland,IRL,0,5,0,-,0,-,0
2011,Bahrain,BHR,Ireland,IRL,0,5,0,-,0,-,0
2012,Bahrain,BHR,Ireland,IRL,0,5,0,-,0,-,0
2017,Bahrain,BHR,Ireland,IRL,0,6,0,-,0,-,0
2019,Bahrain,BHR,Ireland,IRL,5,5,0,-,0,-,0
2020,Bahrain,BHR,Ireland,IRL,6,10,0,-,0,-,0
2021,Bahrain,BHR,Ireland,IRL,5,6,0,-,0,-,0
2022,Bahrain,BHR,Ireland,IRL,12,0,0,-,0,0,0
1999,Burundi,BDI,Ireland,IRL,9,0,0,-,0,-,0
2001,Burundi,BDI,Ireland,IRL,8,0,0,-,0,-,0
2002,Burundi,BDI,Ireland,IRL,10,0,0,-,0,-,0
2003,Burundi,BDI,Ireland,IRL,14,29,0,-,0,-,0
2004,Burundi,BDI,Ireland,IRL,20,39,0,-,0,-,0
2005,Burundi,BDI,Ireland,IRL,31,0,0,-,0,-,0
2006,Burundi,BDI,Ireland,IRL,36,19,0,-,0,-,0
2007,Burundi,BDI,Ireland,IRL,51,23,0,-,0,-,0
2008,Burundi,BDI,Ireland,IRL,51,23,0,-,0,-,0
2009,Burundi,BDI,Ireland,IRL,42,5,0,-,0,-,0
2010,Burundi,BDI,Ireland,IRL,42,33,0,-,0,-,0
2011,Burundi,BDI,Ireland,IRL,37,17,0,-,0,-,0
2012,Burundi,BDI,Ireland,IRL,33,26,0,-,0,-,0
2013,Burundi,BDI,Ireland,IRL,25,17,0,-,0,-,0
2014,Burundi,BDI,Ireland,IRL,20,11,0,-,0,-,0
2015,Burundi,BDI,Ireland,IRL,22,5,0,-,0,-,0
2016,Burundi,BDI,Ireland,IRL,23,10,0,-,0,-,0
2017,Burundi,BDI,Ireland,IRL,25,11,0,-,0,-,0
2018,Burundi,BDI,Ireland,IRL,16,6,0,-,0,-,0
2019,Burundi,BDI,Ireland,IRL,21,7,0,-,0,-,0
2020,Burundi,BDI,Ireland,IRL,22,8,0,-,0,-,0
2021,Burundi,BDI,Ireland,IRL,29,5,0,-,0,-,0
2022,Burundi,BDI,Ireland,IRL,26,12,0,-,0,0,0
2000,Belgium,BEL,Ireland,IRL,5,0,0,-,0,-,0
2001,Belgium,BEL,Ireland,IRL,5,0,0,-,0,-,0
2002,Belgium,BEL,Ireland,IRL,5,0,0,-,0,-,0
2003,Belgium,BEL,Ireland,IRL,5,0,0,-,0,-,0
2004,Belgium,BEL,Ireland,IRL,6,0,0,-,0,-,0
2005,Belgium,BEL,Ireland,IRL,16,0,0,-,0,-,0
2006,Belgium,BEL,Ireland,IRL,16,0,0,-,0,-,0
2007,Belgium,BEL,Ireland,IRL,13,0,0,-,0,-,0
2008,Belgium,BEL,Ireland,IRL,13,0,0,-,0,-,0
2009,Belgium,BEL,Ireland,IRL,13,0,0,-,0,-,0
2010,Belgium,BEL,Ireland,IRL,11,0,0,-,0,-,0
2011,Belgium,BEL,Ireland,IRL,16,0,0,-,0,-,0
2012,Belgium,BEL,Ireland,IRL,16,0,0,-,0,-,0
2003,Benin,BEN,Ireland,IRL,0,5,0,-,0,-,0
2004,Benin,BEN,Ireland,IRL,0,5,0,-,0,-,0
2006,Benin,BEN,Ireland,IRL,0,5,0,-,0,-,0
2007,Benin,BEN,Ireland,IRL,0,7,0,-,0,-,0
2008,Benin,BEN,Ireland,IRL,5,5,0,-,0,-,0
2009,Benin,BEN,Ireland,IRL,5,14,0,-,0,-,0
2010,Benin,BEN,Ireland,IRL,5,11,0,-,0,-,0
2011,Benin,BEN,Ireland,IRL,5,15,0,-,0,-,0
2012,Benin,BEN,Ireland,IRL,0,22,0,-,0,-,0
2013,Benin,BEN,Ireland,IRL,0,25,0,-,0,-,0
2014,Benin,BEN,Ireland,IRL,0,21,0,-,0,-,0
2015,Benin,BEN,Ireland,IRL,0,5,0,-,0,-,0
2016,Benin,BEN,Ireland,IRL,5,0,0,-,0,-,0
2017,Benin,BEN,Ireland,IRL,5,0,0,-,0,-,0
2018,Benin,BEN,Ireland,IRL,5,0,0,-,0,-,0
2019,Benin,BEN,Ireland,IRL,5,0,0,-,0,-,0
2020,Benin,BEN,Ireland,IRL,5,0,0,-,0,-,0
2021,Benin,BEN,Ireland,IRL,5,0,0,-,0,-,0
2022,Benin,BEN,Ireland,IRL,0,5,0,-,0,0,0
2002,Bangladesh,BGD,Ireland,IRL,5,0,0,-,0,-,0
2003,Bangladesh,BGD,Ireland,IRL,5,10,0,-,0,-,0
2004,Bangladesh,BGD,Ireland,IRL,6,7,0,-,0,-,0
2005,Bangladesh,BGD,Ireland,IRL,12,0,0,-,0,-,0
2006,Bangladesh,BGD,Ireland,IRL,18,0,0,-,0,-,0
2007,Bangladesh,BGD,Ireland,IRL,19,27,0,-,0,-,0
2008,Bangladesh,BGD,Ireland,IRL,23,58,0,-,0,-,0
2009,Bangladesh,BGD,Ireland,IRL,23,36,0,-,0,-,0
2010,Bangladesh,BGD,Ireland,IRL,23,96,0,-,0,-,0
2011,Bangladesh,BGD,Ireland,IRL,22,73,0,-,0,-,0
2012,Bangladesh,BGD,Ireland,IRL,20,62,0,-,0,-,0
2013,Bangladesh,BGD,Ireland,IRL,5,95,0,-,0,-,0
2014,Bangladesh,BGD,Ireland,IRL,7,145,0,-,0,-,0
2015,Bangladesh,BGD,Ireland,IRL,13,335,0,-,0,-,0
2016,Bangladesh,BGD,Ireland,IRL,25,221,0,-,0,-,0
2017,Bangladesh,BGD,Ireland,IRL,30,280,0,-,0,-,0
2018,Bangladesh,BGD,Ireland,IRL,34,298,0,-,0,-,0
2019,Bangladesh,BGD,Ireland,IRL,57,216,0,-,0,-,0
2020,Bangladesh,BGD,Ireland,IRL,96,204,0,-,0,-,0
2021,Bangladesh,BGD,Ireland,IRL,101,192,0,-,0,-,0
2022,Bangladesh,BGD,Ireland,IRL,99,203,0,-,0,0,0
2002,Bhutan,BTN,Ireland,IRL,5,0,0,-,0,-,0
2003,Bhutan,BTN,Ireland,IRL,5,0,0,-,0,-,0
2004,Bhutan,BTN,Ireland,IRL,5,7,0,-,0,-,0
2005,Bhutan,BTN,Ireland,IRL,5,0,0,-,0,-,0
2006,Bhutan,BTN,Ireland,IRL,8,13,0,-,0,-,0
2007,Bhutan,BTN,Ireland,IRL,10,28,0,-,0,-,0
2008,Bhutan,BTN,Ireland,IRL,12,43,0,-,0,-,0
2009,Bhutan,BTN,Ireland,IRL,12,10,0,-,0,-,0
2010,Bhutan,BTN,Ireland,IRL,12,57,0,-,0,-,0
2011,Bhutan,BTN,Ireland,IRL,12,48,0,-,0,-,0
2012,Bhutan,BTN,Ireland,IRL,9,45,0,-,0,-,0
2013,Bhutan,BTN,Ireland,IRL,0,43,0,-,0,-,0
2014,Bhutan,BTN,Ireland,IRL,5,21,0,-,0,-,0
2015,Bhutan,BTN,Ireland,IRL,6,10,0,-,0,-,0
2016,Bhutan,BTN,Ireland,IRL,9,0,0,-,0,-,0
2017,Bhutan,BTN,Ireland,IRL,10,0,0,-,0,-,0
2018,Bhutan,BTN,Ireland,IRL,10,0,0,-,0,-,0
2019,Bhutan,BTN,Ireland,IRL,10,0,0,-,0,-,0
2020,Bhutan,BTN,Ireland,IRL,11,0,0,-,0,-,0
2021,Bhutan,BTN,Ireland,IRL,10,0,0,-,0,-,0
2022,Bhutan,BTN,Ireland,IRL,8,0,0,-,0,0,0
2001,Belarus,BLR,Ireland,IRL,6,0,0,-,0,-,0
2002,Belarus,BLR,Ireland,IRL,28,0,0,-,0,-,0
2003,Belarus,BLR,Ireland,IRL,32,42,0,-,0,-,0
2004,Belarus,BLR,Ireland,IRL,39,27,0,-,0,-,0
2005,Belarus,BLR,Ireland,IRL,39,0,0,-,0,-,0
2006,Belarus,BLR,Ireland,IRL,39,33,0,-,0,-,0
2007,Belarus,BLR,Ireland,IRL,51,30,0,-,0,-,0
2008,Belarus,BLR,Ireland,IRL,55,30,0,-,0,-,0
2009,Belarus,BLR,Ireland,IRL,61,11,0,-,0,-,0
2010,Belarus,BLR,Ireland,IRL,60,24,0,-,0,-,0
2011,Belarus,BLR,Ireland,IRL,55,18,0,-,0,-,0
2012,Belarus,BLR,Ireland,IRL,33,27,0,-,0,-,0
2013,Belarus,BLR,Ireland,IRL,53,17,0,-,0,-,0
2014,Belarus,BLR,Ireland,IRL,49,5,0,-,0,-,0
2015,Belarus,BLR,Ireland,IRL,51,0,0,-,0,-,0
2016,Belarus,BLR,Ireland,IRL,44,0,0,-,0,-,0
2017,Belarus,BLR,Ireland,IRL,43,7,0,-,0,-,0
2018,Belarus,BLR,Ireland,IRL,22,5,0,-,0,-,0
2019,Belarus,BLR,Ireland,IRL,22,0,0,-,0,-,0
2020,Belarus,BLR,Ireland,IRL,19,5,0,-,0,-,0
2021,Belarus,BLR,Ireland,IRL,18,8,0,-,0,-,0
2022,Belarus,BLR,Ireland,IRL,22,21,0,-,0,0,0
2010,Bolivia (Plurinational State of),BOL,Ireland,IRL,0,10,0,-,0,-,0
2011,Bolivia (Plurinational State of),BOL,Ireland,IRL,0,5,0,-,0,-,0
2012,Bolivia (Plurinational State of),BOL,Ireland,IRL,0,8,0,-,0,-,0
2013,Bolivia (Plurinational State of),BOL,Ireland,IRL,0,10,0,-,0,-,0
2014,Bolivia (Plurinational State of),BOL,Ireland,IRL,6,5,0,-,0,-,0
2015,Bolivia (Plurinational State of),BOL,Ireland,IRL,6,5,0,-,0,-,0
2016,Bolivia (Plurinational State of),BOL,Ireland,IRL,8,5,0,-,0,-,0
2017,Bolivia (Plurinational State of),BOL,Ireland,IRL,7,11,0,-,0,-,0
2018,Bolivia (Plurinational State of),BOL,Ireland,IRL,7,34,0,-,0,-,0
2019,Bolivia (Plurinational State of),BOL,Ireland,IRL,12,41,0,-,0,-,0
2020,Bolivia (Plurinational State of),BOL,Ireland,IRL,21,47,0,-,0,-,0
2021,Bolivia (Plurinational State of),BOL,Ireland,IRL,23,41,0,-,0,-,0
2022,Bolivia (Plurinational State of),BOL,Ireland,IRL,31,53,0,-,0,0,0
2007,Botswana,BWA,Ireland,IRL,0,5,0,-,0,-,0
2010,Botswana,BWA,Ireland,IRL,0,5,0,-,0,-,0
2011,Botswana,BWA,Ireland,IRL,0,5,0,-,0,-,0
2012,Botswana,BWA,Ireland,IRL,0,5,0,-,0,-,0
2013,Botswana,BWA,Ireland,IRL,0,5,0,-,0,-,0
2014,Botswana,BWA,Ireland,IRL,0,5,0,-,0,-,0
2015,Botswana,BWA,Ireland,IRL,0,10,0,-,0,-,0
2016,Botswana,BWA,Ireland,IRL,0,10,0,-,0,-,0
2017,Botswana,BWA,Ireland,IRL,0,18,0,-,0,-,0
2018,Botswana,BWA,Ireland,IRL,0,26,0,-,0,-,0
2019,Botswana,BWA,Ireland,IRL,10,35,0,-,0,-,0
2020,Botswana,BWA,Ireland,IRL,12,38,0,-,0,-,0
2021,Botswana,BWA,Ireland,IRL,11,88,0,-,0,-,0
2022,Botswana,BWA,Ireland,IRL,32,393,0,-,0,0,0
2003,Brazil,BRA,Ireland,IRL,0,11,0,-,0,-,0
2004,Brazil,BRA,Ireland,IRL,0,5,0,-,0,-,0
2006,Brazil,BRA,Ireland,IRL,0,5,0,-,0,-,0
2007,Brazil,BRA,Ireland,IRL,5,5,0,-,0,-,0
2008,Brazil,BRA,Ireland,IRL,5,13,0,-,0,-,0
2009,Brazil,BRA,Ireland,IRL,5,0,0,-,0,-,0
2010,Brazil,BRA,Ireland,IRL,5,10,0,-,0,-,0
2011,Brazil,BRA,Ireland,IRL,5,12,0,-,0,-,0
2012,Brazil,BRA,Ireland,IRL,5,13,0,-,0,-,0
2013,Brazil,BRA,Ireland,IRL,5,14,0,-,0,-,0
2014,Brazil,BRA,Ireland,IRL,5,10,0,-,0,-,0
2015,Brazil,BRA,Ireland,IRL,5,5,0,-,0,-,0
2016,Brazil,BRA,Ireland,IRL,0,35,0,-,0,-,0
2017,Brazil,BRA,Ireland,IRL,0,57,0,-,0,-,0
2018,Brazil,BRA,Ireland,IRL,0,146,0,-,0,-,0
2019,Brazil,BRA,Ireland,IRL,5,178,0,-,0,-,0
2020,Brazil,BRA,Ireland,IRL,20,211,0,-,0,-,0
2021,Brazil,BRA,Ireland,IRL,22,148,0,-,0,-,0
2022,Brazil,BRA,Ireland,IRL,46,126,0,-,0,0,0
1994,Bosnia and Herzegovina,BIH,Ireland,IRL,375,0,0,-,0,-,0
1999,Bosnia and Herzegovina,BIH,Ireland,IRL,650,0,0,-,0,-,0
2000,Bosnia and Herzegovina,BIH,Ireland,IRL,650,0,0,-,0,-,0
2001,Bosnia and Herzegovina,BIH,Ireland,IRL,652,0,0,-,0,-,0
2002,Bosnia and Herzegovina,BIH,Ireland,IRL,655,0,0,-,0,-,0
2003,Bosnia and Herzegovina,BIH,Ireland,IRL,507,12,0,-,0,-,0
2004,Bosnia and Herzegovina,BIH,Ireland,IRL,0,6,0,-,0,-,0
2005,Bosnia and Herzegovina,BIH,Ireland,IRL,5,0,0,-,0,-,0
2006,Bosnia and Herzegovina,BIH,Ireland,IRL,5,0,0,-,0,-,0
2007,Bosnia and Herzegovina,BIH,Ireland,IRL,11,0,0,-,0,-,0
2008,Bosnia and Herzegovina,BIH,Ireland,IRL,11,0,0,-,0,-,0
2009,Bosnia and Herzegovina,BIH,Ireland,IRL,13,0,0,-,0,-,0
2010,Bosnia and Herzegovina,BIH,Ireland,IRL,13,5,0,-,0,-,0
2011,Bosnia and Herzegovina,BIH,Ireland,IRL,11,5,0,-,0,-,0
2012,Bosnia and Herzegovina,BIH,Ireland,IRL,8,5,0,-,0,-,0
2013,Bosnia and Herzegovina,BIH,Ireland,IRL,14,0,0,-,0,-,0
2014,Bosnia and Herzegovina,BIH,Ireland,IRL,14,0,0,-,0,-,0
2015,Bosnia and Herzegovina,BIH,Ireland,IRL,14,0,0,-,0,-,0
2016,Bosnia and Herzegovina,BIH,Ireland,IRL,14,0,0,-,0,-,0
2017,Bosnia and Herzegovina,BIH,Ireland,IRL,14,0,0,-,0,-,0
2019,Bosnia and Herzegovina,BIH,Ireland,IRL,5,0,0,-,0,-,0
2020,Bosnia and Herzegovina,BIH,Ireland,IRL,5,0,0,-,0,-,0
2021,Bosnia and Herzegovina,BIH,Ireland,IRL,5,0,0,-,0,-,0
2001,Bulgaria,BGR,Ireland,IRL,22,0,0,-,0,-,0
2002,Bulgaria,BGR,Ireland,IRL,40,0,0,-,0,-,0
2003,Bulgaria,BGR,Ireland,IRL,38,9,0,-,0,-,0
2004,Bulgaria,BGR,Ireland,IRL,38,0,0,-,0,-,0
2005,Bulgaria,BGR,Ireland,IRL,38,0,0,-,0,-,0
2006,Bulgaria,BGR,Ireland,IRL,38,0,0,-,0,-,0
2007,Bulgaria,BGR,Ireland,IRL,45,0,0,-,0,-,0
2008,Bulgaria,BGR,Ireland,IRL,45,0,0,-,0,-,0
2009,Bulgaria,BGR,Ireland,IRL,44,0,0,-,0,-,0
2010,Bulgaria,BGR,Ireland,IRL,44,0,0,-,0,-,0
2011,Bulgaria,BGR,Ireland,IRL,23,0,0,-,0,-,0
2012,Bulgaria,BGR,Ireland,IRL,5,0,0,-,0,-,0
2013,Bulgaria,BGR,Ireland,IRL,39,0,0,-,0,-,0
2014,Bulgaria,BGR,Ireland,IRL,35,0,0,-,0,-,0
2015,Bulgaria,BGR,Ireland,IRL,35,0,0,-,0,-,0
2019,Belize,BLZ,Ireland,IRL,0,5,0,-,0,-,0
